,objectid,학명,국명,lon,lat,조사일자,조사년도,시도명
1026,42098,"Hydropotes inermis Swinhoe, 1870",고라니,128.840861,36.101611,2018-05-27,2018,경상북도
1027,16516,"Hydropotes inermis Swinhoe, 1870",고라니,129.108567,37.049085,2018-07-19,2018,경상북도
1028,37729,"Hydropotes inermis Swinhoe, 1870",고라니,126.2015,37.663361,2018-10-20,2018,인천광역시
1029,8240,"Hydropotes inermis Swinhoe, 1870",고라니,128.415556,36.231667,2018-06-10,2018,경상북도
1030,37441,"Hydropotes inermis Swinhoe, 1870",고라니,128.771667,36.6715,2018-09-28,2018,경상북도
1031,16522,"Hydropotes inermis Swinhoe, 1870",고라니,129.130202,37.061888,2018-11-16,2018,경상북도
1032,41765,"Hydropotes inermis Swinhoe, 1870",고라니,129.064742,36.696767,2018-08-15,2018,경상북도
1033,16530,"Hydropotes inermis Swinhoe, 1870",고라니,129.14444,37.051469,2018-11-16,2018,경상북도
1034,16532,"Hydropotes inermis Swinhoe, 1870",고라니,129.214316,37.015581,2018-11-07,2018,경상북도
1035,36598,"Hydropotes inermis Swinhoe, 1870",고라니,129.284931,36.393372,2018-04-05,2018,경상북도
1036,16534,"Hydropotes inermis Swinhoe, 1870",고라니,129.216262,37.022635,2018-11-07,2018,경상북도
1037,8250,"Hydropotes inermis Swinhoe, 1870",고라니,128.444389,36.209917,2018-07-19,2018,경상북도
1038,39467,"Hydropotes inermis Swinhoe, 1870",고라니,129.143994,36.466731,2018-11-13,2018,경상북도
1039,16536,"Hydropotes inermis Swinhoe, 1870",고라니,129.129379,37.006205,2018-11-08,2018,경상북도
1040,36525,"Hydropotes inermis Swinhoe, 1870",고라니,129.138447,36.595961,2018-04-15,2018,경상북도
1041,43657,"Hydropotes inermis Swinhoe, 1870",고라니,128.89505,36.385914,2018-11-08,2018,경상북도
1042,16537,"Hydropotes inermis Swinhoe, 1870",고라니,129.131514,37.008825,2018-11-08,2018,경상북도
1043,39044,"Hydropotes inermis Swinhoe, 1870",고라니,129.408347,36.698542,2018-11-07,2018,경상북도
1044,8251,"Hydropotes inermis Swinhoe, 1870",고라니,128.447444,36.209167,2018-07-19,2018,경상북도
1045,35828,"Hydropotes inermis Swinhoe, 1870",고라니,129.199361,35.441306,2018-04-09,2018,울산광역시
1046,36108,"Hydropotes inermis Swinhoe, 1870",고라니,127.541979,35.963316,2018-05-24,2018,전라북도
1047,35596,"Hydropotes inermis Swinhoe, 1870",고라니,128.455,37.978583,2018-09-18,2018,강원도
