본부명,지사명,노선명,구간,방 향,5km,cnt,사고율,반기,노선명,노선코드,lat,lon
수도권,경기광주,제2중부선,335~340,통영,335,4,0.8,상반기,제2중부선,370,37.31532541,127.3472754
수도권,경기광주,중부선,335~340,하남,335,3,0.6,상반기,"통영대전선,중부선",350,37.31495746,127.347204
수도권,경기광주,중부선,355~360,하남,355,3,0.6,상반기,"통영대전선,중부선",350,37.4667647,127.249511
수도권,경기광주,중부선,340~345,통영,340,9,0.9,중복,"통영대전선,중부선",350,37.3536425,127.3205395
수도권,경기광주,중부선,350~355,통영,350,4,0.8,하반기,"통영대전선,중부선",350,37.43892702,127.2891253
수도권,경기광주,중부선,360~365,통영,360,6,0.6,중복,"통영대전선,중부선",350,37.50779378,127.227249
수도권,경기광주,제2중부선,345~350,하남,345,3,0.6,상반기,제2중부선,370,37.39826163,127.3109912
수도권,동서울,서울외곽순환선,115~120,판교,115,3,0.6,상반기,서울외곽순환선,1000,37.37918532,126.9574134
전북,보령,서해안선,155~160,목포,155,3,0.6,하반기,서해안선,150,36.07055256,126.7431944
전북,보령,서해안선,200~205,목포,200,5,0.5,중복,서해안선,150,36.38716078,126.5552914
전북,보령,서해안선,205~210,목포,205,3,0.6,하반기,서해안선,150,36.42683592,126.5767558
전북,보령,서해안선,220~225,서울,220,3,0.6,하반기,서해안선,150,36.55869543,126.5794765
전북,전주,호남선,165~170,순천,165,3,0.6,상반기,"논산천안선,호남선",250,35.84029013,127.0427432
전북,전주,호남선,135~140,천안,135,3,0.6,상반기,"논산천안선,호남선",250,35.61883789,126.8805539
전북,무주,중부선,170~175,하남,170,3,0.6,하반기,"통영대전선,중부선",350,35.99423628,127.6043356
전북,무주,중부선,170~175,통영,170,3,0.6,하반기,"통영대전선,중부선",350,35.99423628,127.6043356
전북,무주,중부선,185~190,통영,185,8,0.8,중복,"통영대전선,중부선",350,36.10547829,127.5178612
전북,무주,중부선,190~195,하남,190,3,0.6,상반기,"통영대전선,중부선",350,36.14637535,127.5073687
전북,무주,중부선,205~210,통영,205,3,0.6,하반기,"통영대전선,중부선",350,36.26860087,127.469419
전북,논산,호남지선,5~10,대전,5,5,0.5,중복,호남선의 지선,2510,36.11999838,127.1295409
전북,논산,호남지선,20~25,논산,20,4,0.8,상반기,호남선의 지선,2510,36.18836587,127.2525843
충북,보은,청주상주선,5~10,상주,5,3,0.6,상반기,청주상주선,303,36.54586033,127.479322
충북,보은,청주상주선,15~20,청주,15,3,0.6,상반기,청주상주선,303,36.50889424,127.5774168
충북,보은,청주상주선,35~40,상주,35,5,1,상반기,청주상주선,303,36.45529825,127.7801827
충북,보은,청주상주선,40~45,상주,40,7,0.7,중복,청주상주선,303,36.45562475,127.8359285
충북,보은,청주상주선,40~45,상주,40,5,0.5,중복,청주상주선,303,36.45562475,127.8359285
충북,보은,청주상주선,45~50,상주,45,7,0.7,중복,청주상주선,303,36.44741086,127.8883615
충북,보은,청주상주선,70~75,상주,70,10,1,중복,청주상주선,303,36.36991838,128.1320701
충북,보은,청주상주선,70~75,청주,70,5,0.5,중복,청주상주선,303,36.36991838,128.1320701
충북,진천,중부선,250~255,통영,250,3,0.6,하반기,"통영대전선,중부선",350,36.62226641,127.4202485
충북,진천,중부선,265~270,하남,265,3,0.6,하반기,"통영대전선,중부선",350,36.745619,127.4691291
충북,진천,중부선,285~290,통영,285,4,0.4,중복,"통영대전선,중부선",350,36.90295427,127.4761971
충북,진천,중부선,295~300,통영,295,5,1,상반기,"통영대전선,중부선",350,36.99133408,127.474735
충북,진천,중부선,295~300,하남,295,4,0.8,상반기,"통영대전선,중부선",350,36.99133408,127.474735
충북,진천,중부선,310~315,통영,310,4,0.8,상반기,"통영대전선,중부선",350,37.11851464,127.4448231
충북,진천,중부선,315~320,하남,315,4,0.4,중복,"통영대전선,중부선",350,37.16308808,127.4400351
충북,진천,중부선,320~325,하남,320,3,0.6,상반기,"통영대전선,중부선",350,37.20776473,127.4422137
충북,제천,중앙선,270~275,부산,270,4,0.8,상반기,중앙선,550,37.05124758,128.2059482
충북,제천,중앙선,270~275,춘천,270,4,0.4,중복,중앙선,550,37.05124758,128.2059482
충북,제천,중앙선,275~280,부산,275,11,1.1,중복,중앙선,550,37.08378056,128.1698621
충북,제천,중앙선,275~280,춘천,275,3,0.6,상반기,중앙선,550,37.08378056,128.1698621
충북,제천,중앙선,280~285,부산,280,8,0.8,중복,중앙선,550,37.12122317,128.1495986
충북,제천,중앙선,285~290,부산,285,4,0.8,상반기,중앙선,550,37.16116765,128.127351
충북,제천,중앙선,285~290,춘천,285,3,0.6,하반기,중앙선,550,37.16116765,128.127351
충북,제천,중앙선,290~295,부산,290,5,0.5,중복,중앙선,550,37.20204558,128.1182106
충북,제천,중앙선,290~295,춘천,290,4,0.8,상반기,중앙선,550,37.20204558,128.1182106
충북,제천,중앙선,295~300,춘천,295,5,0.5,중복,중앙선,550,37.23250758,128.0807089
충북,제천,중앙선,310~315,춘천,310,6,0.6,중복,중앙선,550,37.31322277,127.9552371
